class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label,identifier_value
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AbuDB4awtRQP,music score,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,title,,,Madrigali e pazzarelle a due voci : per cantare nel arpicordo over tiorba : libro primo / di Nicolò Rubini da Modena,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,inception,,,,1610.0,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,has_version,,,,,http://id.sbn.it/bid/MUS0274029,1610.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h98jfRjMidFB', 'label': 'Ricciardo Amadino'}",,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KSdGVohPStJn,Nicolò Rubini,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,subject,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,has_part,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,instrumentation,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BE4kxtAbpReH,continuo group,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,instrumentation,,,,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ne3BHXniMVmN,voice,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,identifier,,,,,,,,,,,,,,,,,https://rism.online/sources/990056331
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,identifier,,,,,,,,,,,,,,,,,http://id.sbn.it/bid/MUS0274029
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,f3PQEHDnuHSf,764026185496869263314,identifier,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV18530010
