class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,identifier,http://www.wikidata.org/entity/Q165257,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,described_by_source,,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,work_location,,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,member_of,,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,related_to,,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,notable_work,,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,interested_in,,,,,,,,,,,,,,
Agent,Lope de Vega,,,Lope de Vega,Lope de Vega.md,DVrS9nK98tHq,237077358450066062399,catalog_identifier,,,,,,,,,,,,,,
