class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_publisher,has_version_place_of_publication,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,identifier,,,,,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ajgtt88cevRe,(Procaccioli 2020),,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cibGpsivH4gP,(Lucioli 2024),,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BHjf4RwxJhry,(Bolzoni 2004),,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m7L8ASjPN8nA,treatise,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,title,,,,,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,inception,,,,,,,1574.0,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,has_version,,,,,,,,1574.0,https://www.digitale-sammlungen.de/en/view/bsb10190180,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gEVtMk8GxHjh', 'label': 'Francesco De Franceschi'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10190180/manifest,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,Girolamo Ruscelli,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,KugcvVLtTHNa,369519244823712134747,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eLn4sXrKiBxP,Orazio Toscanella,,,,,
