class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,identifier_value
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,work_location,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,member_of,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oJ7bBDGkTcz8,actor,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,related_to,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,notable_work,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G7vsGa9x682P,humorous poetry,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B23Vk5xdu2BR,bizzarria,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ye88EjEg6hpa,commedia dell'arte,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,catalog_identifier,,,,,,,,,,,,,,
Agent,Andrea Calmo,Andrea Calmo.md,Andrea Calmo,PfmM4nEirrZh,447024366462360700824,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q352272
