class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,mythical character,,,mythical character,mythical character.md,Sase3zEpuPuV,507161901008331535302,identifier,http://www.wikidata.org/entity/Q4271324,
Concept,mythical character,,,mythical character,mythical character.md,Sase3zEpuPuV,507161901008331535302,described_by_source,,
