class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_publisher,has_version_place_of_publication,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,identifier,,,,,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL,(Procaccioli 2020),,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AKdqXvjEKiNE,(Lucioli 2024),,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7Gi2GFLvgMfV,(Bolzoni 2004),,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,title,,,,,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,inception,,,,,,,,,,,,,,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,has_version,,,,,,,,1574.0,https://www.digitale-sammlungen.de/en/view/bsb10190180,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4vGZjVcpavRo', 'label': 'Francesco De Franceschi'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10190180/manifest,,,,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,Girolamo Ruscelli,,,,,
Book,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,,,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella,Bellezze del Furioso di M. Lodovico Ariosto scelte da Orazio Toscanella.md,Qq6zzW2cG2Nu,471037120540956962940,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b9S7DWcXyg4q,Orazio Toscanella,,,,,
