class,label,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label,identifier_value
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRCYDktcXg33,Ottavio Tronsarelli,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YwBMpr45NG8a,Alla Signoraa Angelica N. sonatrice,182.0,Rime di Ottavio Tronsarelli,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7f7aTSJBCVeC,musician,,,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7f7aTSJBCVeC,musician,,,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,text,,,,,,,,,,,,,,,,,,,,"Angelica, se'l mondo
Con occulti tormenti
E vivo Inferno di pensier nocenti,
Per te solo il mio petto
Di contento è ricetto;
Poiché, con suon giocondo,
Temprando i pensier miei,
Ne l'Inferno de' vivi Angiola sei.",,,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Angelica, se'l mondo","Madrigale in praise of Angelica N., musician.","Angelica, se'l mondo","Angelica, se'l mondo.md",jm6FLHvCtrDv,861666219028269714325,identifier,,,,,,,,,,,,,,,,,,,,,,,
