class,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,opposite_of_value,opposite_of_label,identifier_value
Concept,child,child.md,child,V6cqVoABPVYS,558838671645335480583,instance_of,,,,,
Concept,child,child.md,child,V6cqVoABPVYS,558838671645335480583,subclass_of,,,,,
Concept,child,child.md,child,V6cqVoABPVYS,558838671645335480583,opposite_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HfrQcprw9i6S,parent,
Concept,child,child.md,child,V6cqVoABPVYS,558838671645335480583,identifier,,,,,http://www.wikidata.org/entity/Q7569
