class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_role,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg,(Tostini 2017),,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8jJabADoJdRk,Ancona,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,catalog_identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,member,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cXYCxHuzjv4,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Prospero Bonarelli della Rovere,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Caliginosi di Ancona,,,Accademia dei Caliginosi di Ancona,Accademia dei Caliginosi di Ancona.md,ctWkhvzz9tCu,719904861954354102795,notable_work,,,,,,,,,,,,,,,,,
