class,description,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/025800000501_PPPP00260406,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,contributor,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QUHAq7K8fEy9,Jacopo Sannazaro,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,part_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZYzyG5Kmbf7X,Egloga I,Arcadia del Sannazaro,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X5mzWGfcQaQ3,eclogue,,,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddw2PSbVUZ6t,shepherd,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JUdJWGgBjkYx,animal,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvVWzBztq38s,poetry,,,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,text,,,,,,,,,,,,,,,,,,,,,,"Fiere silvestre, che per lati campi
Vagando errate e per acuti sassi,
Udiste mai sì dolorose rime?
Ditel, per dio. Udiste in alcun giorno,
O pur in questa o ver in altra valle,
Con sì caldi sospir sì lungo pianto?",,
PoeticWork,The shepherd asks the wild animals of the forest if they have ever listen to such intense weeping.,"Fiere silvestre, che per lati campi","Fiere silvestre, che per lati campi.md","Fiere silvestre, che per lati campi",YpGL53XSv6SZ,635821462147205410996,described_by_source,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM
