class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,identifier,http://www.wikidata.org/entity/Q777574,,,,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,described_by_source,,,,,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,title,,,,,Rerum vulgarium fragmenta,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,inception,,,,,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,has_version,,,,,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,contributor,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9KUYCwvTTukF,Francesco Petrarca,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,subject,,,,,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,has_part,,,,,,,,,,,,,
Book,Canzoniere,,['Rerum vulgarium fragmenta'],Canzoniere,Canzoniere.md,eFVvroiAxvxk,747776208650027725023,based_on,,,,,,,,,,,,,
