class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value
Concept,['Diana'],Artemis,Artemis.md,Artemis,PnQVizCoWTD4,449426185211260494827,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/46nFpBHuPXqX,mythical character,,
Concept,['Diana'],Artemis,Artemis.md,Artemis,PnQVizCoWTD4,449426185211260494827,subclass_of,,,,
Concept,['Diana'],Artemis,Artemis.md,Artemis,PnQVizCoWTD4,449426185211260494827,opposite_of,,,,
