class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,identifier,http://id.sbn.it/bid/VEAE002081,,,,,,,,,,,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nqdAXunx4Ce4,(Cosentino 2020),,,,,,,,,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,title,,,,,,La Lucerna di Eureta Misoscolo Academico Filarmonico,,,,,,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,inception,,,,,,,1625.0,,,,,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,has_version,,,,,,,,http://id.sbn.it/bid/TO0E000958,1628.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://www.google.it/books/edition/_/nvBvIJKsNvAC,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,has_version,,,,,,,,http://id.sbn.it/bid/VEAE002081,1625.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PvBHcFy5Dvdr', 'label': 'Verona'}]",,,,,,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oSTLeNsMbiX6,Published under pseudonym to avoid persecution by the Inquisition.,Francesco Pona,,,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,,,,,
Book,La lucerna di Eureta Misoscolo Accademico Filarmonico,,,La lucerna di Eureta Misoscolo Accademico Filarmonico,La lucerna di Eureta Misoscolo Accademico Filarmonico.md,etU5AHBeLzxH,761159551180122144222,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,
