class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,identifier,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,described_by_source,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o3Jj53NDsjgB,publishing house,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,inception,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,dissolved,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,official_website,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,catalog_identifier,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,member,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,interested_in,,,,,,,,,,,,,
Organisation,Libraria della Luna,,['Libreria della Luna'],Libraria della Luna,Libraria della Luna.md,iqikNWstKK7g,842710340891264304257,notable_work,,,,,,,,,,,,,
