class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,identifier_value
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,work_location,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,member_of,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2j8TDeS5UmB4,alchemist,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,related_to,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,notable_work,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,catalog_identifier,,,,,,,,,,,,,,
Agent,Antonio Allegretti,Antonio Allegretti.md,Antonio Allegretti,cJxBvXJUqEYZ,707757214133947137628,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q140194189
