class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=29251,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QCahxhU4Tbt4', 'label': 'Chiara Matraini'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,part_of,,,,,,,,,"Chiara Matraini, IV",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8bcRKeoRwLYe,(van Dooren 1992),,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XBXTcUPpGVNf,child,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7iFPYdb9Lkjr,death,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7c9f6d4Y2VnP,storm,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,
PoeticWork,"Tu dunque figlio sei morto, che solo",,,"Tu dunque figlio sei morto, che solo","Tu dunque figlio sei morto, che solo.md",MUqEKWsDr6VG,401794854670646627702,text,,,,,,,,,,,,,,,,,,,,,,"Tu dunque, figlio, sei morto, che solo
Eri qui della mia vita conforto,
E del mio legno travagliato il porto,
E d'ogn'orrida mia tempesta il polo?

Ahi come presto al Cielo alzato a volo
Ti sei, lasciando me per questo torto
Camin, dov'or dubbiosa e stanca porto
Questa mia vita fral carca di duolo.

Ma poiché così piacque al tuo Fattore,
Pregal che tempri almeno il dolor mio,
Che col pianger non turbi il tuo diletto;

E vien talor con filiale amore
A consolarmi, onde quest'aspro e rio
Dolor volghi in più caro e santo affetto."
