class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2brEqdcLsYfo,Giordano Bruno,,,,,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5Lj4XkUeL3FB,7.0,Sonetto in lode de l'Asino,Cabala del cavallo Pegaseo con l'aggiunta dell'Asino Cillenico,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hUML8NJyY29w,docta ignorantia,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PYvonZaZo749,donkey,,,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Oh sant' asinità, sant'ignoranza",,,"Oh sant' asinità, sant'ignoranza","Oh sant' asinità, sant'ignoranza.md",ecEop8uAv3pL,755282851436453543355,text,,,,,,,,,,,,,,,,,,,,,,,,"Oh sant'asinità, sant'ignoranza,  
Santa stoltizia, e pia divozione,  
Qual sola puoi far l'anime si buone,  
Ch'uman ingegno e studio non l'avanza!  

Non gionge faticosa vigilanza  
D'arte, qualunque sia, o invenzione,  
Né di sofossi contemplazione  
Al ciel, dove t'edifichi la stanza.  

Che vi val, curiosi, il studiare,  
Voler saper quel che fa la natura,  
Se gli astri son pur terra, fuoco e mare?  

La santa asinità di ciò non cura,  
Ma con man gionte e 'n ginocchion vuol stare  
Aspettando da Dio la sua ventura.  

Nessuna cosa dura,  
Eccetto il frutto dell'eterna requie,  
La qual ne done Dio dopo l'esequie!"
