class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F160220000010101_000000090400C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eQyeBuP32NDJ,Laura Peverara,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o8dUJLYPmTmL,Orsola Bertolai,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,part_of,,,,,,,,,215.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dUxL6iZT2qYu,Della Sig. Cavalletta,Rime di diversi celebri poeti dell'età nostra,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLCLQwah7dPA,theft,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kxH89uEZ8Uxe,laurel,,,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,M'è pur stato dal core,,,M'è pur stato dal core,M'è pur stato dal core.md,TRHMkehaXPUr,524321736397070455107,text,,,,,,,,,,,,,,,,,,,,,,,,,"M'è pur stato dal core
Furtivamente il Lauro
Svelto, che già tu vi piantasti Amore.
E tu'l vedi, e consenti,
Che quel, che l'ha rapito
Non debba esser punito?
Ma temo, che paventi
Punir chi l'ha rubato,
Sol perch'ancor tu sei di furto nato."
