class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E5iRLUFCaaJC,Barbara degli Albizzi Tagliamochi,,,,,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6RCgZiH6GJMA,"Canto I, 3",2.0,Ascanio errante,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QumbV58oqxew,Muse,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cw9SB9nEpgGt,river,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HyEHYV8QKT42,nymph,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bDmTfHcyfkqv,shepherd,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g8Up2rMGBphr,songbirds,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nf6cF32SCt6E,singing,,,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Musa che meco in basso stil cantasti,,,Musa che meco in basso stil cantasti,Musa che meco in basso stil cantasti.md,Co9fJ3AXQPVq,222699113276269093454,text,,,,,,,,,,,,,,,,,,,,,,,,"Musa che meco in basso stil cantasti,
Al dolce canto di garuli Augelli,
Alla grat'ombra l'aura fermasti
El mormorio di limpidi Ruscelli:
Scherzi vari d'Amor, honesti, e casti,
Di Ninfe, e di Pastor leggiadri, e belli;
S'audace hora a cantar sì alte imprese
M'accingo, di favor siemi cortese."
