class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Uj7uWMw9v9H7,Teofilo Folengo,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,part_of,,,,,,,,Selva Tertia.,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KSxFDVfDSxFT,98.0,Chaos del tri per uno,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,"Quel spaventevol mar, che a' naviganti",,,"Quel spaventevol mar, che a' naviganti","Quel spaventevol mar, che a' naviganti.md",Y6HJ35UW5KcR,620622186986683162880,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
