class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,inception,,,1563.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,dissolved,,,,,,,,,,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,location,,,,,,,,,,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,official_website,,,,,,,,,,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,catalog_identifier,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",556.0,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,member,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Torquato Tasso,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,interested_in,,,,,,,,,,,,,,
Organisation,Accademia degli Addormentati di Genova,Accademia degli Addormentati di Genova.md,Accademia degli Addormentati di Genova,oYJAi8vpiSfH,939579088388635294119,notable_work,,,,,,,,,,,,,,
