class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,identifier,http://www.wikidata.org/entity/Q22907032,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c8E9PewYfSbb,(Forshaw 2010),,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,instance_of,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,title,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,inception,,,,,,1758.0,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,has_version,,,,,,,1758.0,https://archive.org/details/b33019617,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o8BzAGqSmxpP', 'label': 'Internet Archive'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dhbQrFWynqRh', 'label': 'Paris'}]",,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R6p8tmcvoNZA,Michael Maier,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,based_on,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,catalog_identifier,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,k8Rq6Wtbkqw4,869031325102228475417,has_part,,,,,,,,,,,,,,,,,,
