class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,inception,,,,,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",111.0,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgExG22ootgh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Ottavio Tronsarelli,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,bC9ap7cjMHkW,684653145869357443216,notable_work,,,,,,,,,,,,,,,,,
