class,aliases,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,identifier,http://www.wikidata.org/entity/Q213220,,,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,work_location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,member_of,,,,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,related_to,,,,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,notable_work,,,,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,interested_in,,,,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Aldus Manutius', 'Aldo Manutio']",Aldo Manuzio,Aldo Manuzio.md,Aldo Manuzio,ETdYkUnuXfEw,256907359070508338252,present_in_work,,,,,,,,,,,,,,,
