class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F007810000101_PPPP00230700C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/52JsT9MZeipF,Annibale Pocaterra,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X6oJBh3kUpHc,2.0,29.0,"Dui dialoghi della vergogna, con alcune prose, et rime, del sig. Annibale Poccaterra",,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddyPTXYyiFzq,loyalty,,,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGRByAyckPA5,kiss,,,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Dicesti anima mia,,,Dicesti anima mia,Dicesti anima mia.md,VSmfzQmG5vCW,566135443064818406551,text,,,,,,,,,,,,,,,,,,,,,,,,,"Dicesti anima mia
Ch'ardi per me d'Amore
Sol con le labbra
O col profondo core
Ah non sia mai ch'io il creda
Finché dell'amor tuo segno non veda
Vuoi che sicuro io sia
Che siano i detti tuoi ﬁdi e veraci
Sian testimoni e guiramenti i baci."
