class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,work_location,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,member_of,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gSay5HCzzmqo,philosopher,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b9S7DWcXyg4q,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B5e6W9PgJuqU', 'label': 'artistic legacy'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Orazio Toscanella,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vc5QHZPT7X9M,hermeticism,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NXXS5qJxyMGp,art of memory,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bnvEv4i9tErt,ars combinatoria,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,present_in_work,,,,,,,,,,,,,,,,,,
Agent,Giulio Camillo,Giulio Camillo.md,Giulio Camillo,NHkkEPxj8q5g,418419963471354968765,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q331003
