class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F138800000010101_000000157100C,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,instance_of,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5n6E2xua9xN3,Rinaldo del Mel,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JWr76UXJFZjt,Il Primo libro de Madrigali a cinque voci de Rinaldo Del Mel,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,instrumentation,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kpdqXbDj2gkV,La natura compose,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,derivative_work,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,text,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,language,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,subject,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,poetic_type,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,depicts,,,,,,,,,,,,,,,,,,,
MusicComposition,La natura compose (del Mel),,,La natura compose (del Mel),La natura compose (del Mel).md,PVDneYJqv6sX,443203638082993064678,metre,,,,,,,,,,,,,,,,,,,
