class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,identifier,http://www.wikidata.org/entity/Q15433778,,,,,,,,,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fdS6LEtBZire,(Sangalli 2020),,,,,,,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xcfe7aKfnNfN,Padova,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FmeP3YhBTqEh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fdS6LEtBZire', 'label': '(Sangalli 2020)'}]",Accademia degli Animosi di Padova,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,occupation,,,,,,,,,,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fdS6LEtBZire', 'label': '(Sangalli 2020)'}]",Torquato Tasso,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,notable_work,,,,,,,,,,,,,,,,,,,,,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,interested_in,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YozCjWFUiBGt,Italian language,,,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,catalog_identifier,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9674.0,
Agent,Paolo Beni,,,Paolo Beni,Paolo Beni.md,Qa3UdX65zTMJ,465584182292060563636,present_in_work,,,,,,,,,,,,,,,,,,,,,,,
