class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,work_location,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,member_of,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,related_to,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,notable_work,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,interested_in,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,catalog_identifier,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,present_in_work,,,,,,,,,,,,,,
Agent,['Oratio Scaletta'],Orazio Scaletta,Orazio Scaletta.md,Orazio Scaletta,AXYpZsPSgBjk,175781897651725079880,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q21001469
