class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_value,contributor_label,contributor_role,subject_value,based_on_value,catalog_identifier_value,has_part_value,depicts_value
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,identifier,https://edit16.iccu.sbn.it/titolo/CNCE017692,,,,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,instance_of,,,,,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,title,,,,,"I marmi del Doni, academico peregrino",,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,inception,,,,,,1552.0,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE017692,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1552.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ugjg95iYkpuR', 'label': 'Francesco Marcolini'}",https://www.digitale-sammlungen.de/en/view/bsb10163838,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10163838/manifest,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,contributor,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nRjVfw37DWEf,Accademia dei Pellegrini,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,contributor,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,Anton Francesco Doni,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,subject,,,,,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,based_on,,,,,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,has_part,,,,,,,,,,,,,,,,,,,,,
Book,"I marmi del Doni, academico peregrino","I marmi del Doni, academico peregrino.md","I marmi del Doni, academico peregrino",oQsd8MrHSmcQ,936895362545352001930,depicts,,,,,,,,,,,,,,,,,,,,,
