class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,work_location,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,member_of,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,related_to,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,notable_work,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,interested_in,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,catalog_identifier,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,present_in_work,,,,,,,,,,,,,,
Agent,"['Lucia Albana', 'Lucia Albani']",Lucia Albani Avogadro,Lucia Albani Avogadro.md,Lucia Albani Avogadro,KpZK8ZttRzyy,367662633868224098869,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q535752
