class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fwobE2DWRXRY,Emperor Charles V,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Francesco Maria Santinelli]],,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,part_of,,,,,,,,"Canto VI, 45",Carlo Quinto,96.0,[[(Santinelli 1985)]],,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,depicts,,,,,,,,,,,,,,,,,,,,[[classical elements]],,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,depicts,,,,,,,,,,,,,,,,,,,,[[chaos]],,,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Arte meravigliosa, ah, ben comprendo",Praise to the Sun.,,"Arte meravigliosa, ah, ben comprendo","Arte meravigliosa, ah, ben comprendo.md",iZAYuDghfyV7,836713283667548196092,text,,,,,,,,,,,,,,,,,,,,,,,"Arte meravigliosa, ah, ben comprendo
Come in sì gran lavoro immiti Iddio,
Quando trasse dal Nulla il Chaos horrendo,
E dal Chaos gli Elementi insieme unio.
Hebbe moto Natura, e all'hora aprendo
Quel Mondo inoperoso al Mondo uscio,
E con Essa Natura a l'occhio, al tatto
Tutti gli Enti in potenza usciro in Atto."
