class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,identifier,https://edit16.iccu.sbn.it/titolo/CNCE047030,,,,,,,,,,,,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hDMFBzVtguAY,(Novellari 1993),,,,,,,,,,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,title,,,,,,"Giuoco piaceuole d'Ascanio de Mori da Ceno. Ristampato piu corretto, & migliorato da lui; con la giunta d'alcune rime, et d'vn ragionamento del medesimo in lode delle donne",,,,,,,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,inception,,,,,,,1580.0,,,,,,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE047030,1580.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtWEY2x38pvJ', 'label': 'Mantova'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P6GjFegBiv7y', 'label': 'Giacomo Ruffinelli'}",https://books.google.it/books?id=stYj0n7gqsIC,,,,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2TKD9QJZ8hEn,Vincenzo I Gonzaga,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yirr4fPGSu5,Ascanio Mori,,,,,,,,
Book,Giuoco piacevole d'Ascanio de Mori,,,Giuoco piacevole d'Ascanio de Mori,Giuoco piacevole d'Ascanio de Mori.md,7NoiV6BUEEEb,110710491973738645317,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JCBpTmtUqcFv,parlour game,,,,,,
