class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,identifier,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88,(Artese 1983),,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q6FD2rU7f347,salon,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,inception,,,,,,1559.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,location,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,official_website,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,catalog_identifier,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,member,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mb4nqpu9MxKm,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88', 'label': '(Artese 1983)'}]",Lodovico Dolce,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,related_to,,,,,,,,,,,,,,,,,,
Organisation,Compagnia dei Pastori Fratteggianti,,,Compagnia dei Pastori Fratteggianti,Compagnia dei Pastori Fratteggianti.md,FPwMwUsq27Kf,276208247739025442572,motto,,,,,,,,,,,,,,,,,,
