class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,identifier,http://www.wikidata.org/entity/Q112433048,,,,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,described_by_source,,,,,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,member_of,,,,,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,related_to,,,,,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,notable_work,,,,,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Fausto Bonardo,,['Fausto Bonardi'],Fausto Bonardo,Fausto Bonardo.md,ZeQ7gLhjHjkc,652886460852921422818,present_in_work,,,,,,,,,,,,,,,,,
