class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,identifier,http://www.wikidata.org/entity/Q48900,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,described_by_source,,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,member_of,,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,related_to,,,,,,,,,,,,,,,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,notable_work,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8GvHmwR26GRn,chivalry,
Agent,Ludovico Ariosto,,['Lodovico Ariosto'],Ludovico Ariosto,Ludovico Ariosto.md,EBMKwsCza3hd,251011776069155879396,catalog_identifier,,,,,,,,,,,,,,,,,
