class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,identifier,http://www.wikidata.org/entity/Q3154847,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,identifier,https://lyra.unil.ch/agents/324,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8bcRKeoRwLYe,(van Dooren 1992),,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/H6vWHyD5TTp4,(Nardi 2020),,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,work_location,,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,member_of,,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,related_to,,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,notable_work,,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,interested_in,,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Isabella di Morra,,,Isabella di Morra,Isabella di Morra.md,dAMKocC6THAK,725275424123506596605,present_in_work,,,,,,,,,,,,,,,,
