class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,Dianora Sanseverino,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,part_of,,,,,,11.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QHQNCAeFLdvH,Alla S. Dianora Sanseverina.,Rime de la signora Laura Terracina,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gSKYwN6xYzZN,Mars,,,,,
PoeticWork,Trema e paventa in me l'ingegno e l'arte,Trema e paventa in me l'ingegno e l'arte.md,Trema e paventa in me l'ingegno e l'arte,B79LcC3QfdRb,187579798463505503730,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R4q38qZbHK3Y,Apollo,,,,,
