class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,identifier,http://www.wikidata.org/entity/Q452580,,,,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,described_by_source,,,,,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YtWEY2x38pvJ,Mantova,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6LYQnwAKBM9Y,House of Gonzaga,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,related_to,,,,,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,notable_work,,,,,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,interested_in,,,,,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Vincenzo I Gonzaga,,,Vincenzo I Gonzaga,Vincenzo I Gonzaga.md,2TKD9QJZ8hEn,9160048309151881574,present_in_work,,,,,,,,,,,,,,,,,
