class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,part_of,,,,,,,,"Poems of Love, 5",43.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PVJ92w9D4VE7,(Gambara 2014),,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kQJTTbE9Kyg4,rhetorical question,,,,,,,,
PoeticWork,Così estrema è la doglia,The speaker’s pain comes from not being able to express her emotions. She is silent because she must conceal her feelings.,,Così estrema è la doglia,Così estrema è la doglia.md,YHvT6Bv8jeo3,624840566673362208940,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,
