class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_publisher,has_version_note,has_version_publication_date,contributor_value,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,identifier,https://musicare.beniculturali.unipd.it/database/editions/005825.html,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dmwyPyczveEX,Musicare DB,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,title,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,inception,,,,,,,1607.0,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,has_version,,,,,,,,http://id.sbn.it/bid/MUS0158832,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oUhKi8DpTgQN', 'label': 'Kunstmuseum Den Haag'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ah3xiLm7tVeM', 'label': 'Angelo Gardano'}",Altus is missing.,1607.0,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,contributor,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,subject,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,has_part,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instrumentation,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instrumentation,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instrumentation,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instrumentation,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,The altus part is missing.,,Libro Quarto de Madrigali a cinque voci di Orlandi Santi,Libro Quarto de Madrigali a cinque voci di Orlandi Santi.md,k6p2B662SGfj,868448113817247369953,instrumentation,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
