class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_role,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,identifier,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7,(Nicolaci 2017),,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XSSWJuarq3FG,Lucca,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c8MGAXgS6AZb,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/joaxpdFod2Jb', 'label': 'founder'}",1584.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7', 'label': '(Nicolaci 2017)'}]",Accademia degli Oscuri di Lucca,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,occupation,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,related_to,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Giovan Lorenzo Malpigli,,,Giovan Lorenzo Malpigli,Giovan Lorenzo Malpigli.md,8wkJHNYmLSpi,143271740222011392505,catalog_identifier,,,,,,,,,,,,,,,,,,,
