class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,identifier,http://www.wikidata.org/entity/Q2264063,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,described_by_source,,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,work_location,,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,member_of,,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gup4VoeXGR57,politician,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,related_to,,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,notable_work,,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,interested_in,,,,,,,,,,,,,,,,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",17982.0,
Agent,Giulia Gonzaga,,,Giulia Gonzaga,Giulia Gonzaga.md,4UAT7oCrqrup,50738275152895711105,present_in_work,,,,,,,,,,,,,,,,
