class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,identifier,http://www.wikidata.org/entity/Q63928896,,,,,,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AaLj6CFL44sm,Accademia delle Virtù di Roma,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,occupation,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,related_to,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8PbDdJzRgVyg', 'label': '(Chiummo 2020)'}]",humorous poetry,,,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",20758.0,
Agent,Giovanni Mauro,,"[""Giovanni Mauro d'Arcano""]",Giovanni Mauro,Giovanni Mauro.md,eLxZEgMmDXWF,749755454139149200396,present_in_work,,,,,,,,,,,,,,,,,,,
