class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_value,member_reference,member_label,member_start_date,member_end_date,interested_in_value,interested_in_label,notable_work_value
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcTsbRkSfStk,(Braghi 2011),,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,inception,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,dissolved,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8uSppJ4kaCQ5,Piacenza,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,official_website,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,catalog_identifier,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X6tpZpZf34Lu,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb', 'label': '(Moroncini 2017)'}]",Lodovico Domenichi,,,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BarcvHNHhyjC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GaMRGcMjx2SV', 'label': '(Girotto 2017)'}]",Anton Francesco Doni,1543.0,1544.0,,,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,
Organisation,Accademia degli Ortolani di Piacenza,,,Accademia degli Ortolani di Piacenza,Accademia degli Ortolani di Piacenza.md,BGxg3GX8Zcio,191138781383908697451,notable_work,,,,,,,,,,,,,,,,,,,
