class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,country_value,identifier_value
Place,United Kingdom,United Kingdom.md,United Kingdom,9j3JohZFoFx4,159302889496248022811,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AyrcL5v7u9qb,country,,
Place,United Kingdom,United Kingdom.md,United Kingdom,9j3JohZFoFx4,159302889496248022811,country,,,,
Place,United Kingdom,United Kingdom.md,United Kingdom,9j3JohZFoFx4,159302889496248022811,identifier,,,,http://www.wikidata.org/entity/Q145
