class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hke846QYoVbD,Antwerpen,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,member_of,,,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,historian,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,related_to,,,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,notable_work,,,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,interested_in,,,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,catalog_identifier,,,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,present_in_work,,,,,,,,,,,,,,,
Agent,Lodovico Guicciardini,Lodovico Guicciardini.md,Lodovico Guicciardini,VWt6RJCssYGT,567624294725275074829,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q940660
