class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,identifier,http://www.wikidata.org/entity/Q106298606,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,described_by_source,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,work_location,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,member_of,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,related_to,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,notable_work,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,interested_in,,,,,,,,,,,,,,,
Agent,Vincenzo Sabbio,,,Vincenzo Sabbio,Vincenzo Sabbio.md,YKDEvRfWgWii,625302869123498993188,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",15720.0
