class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,gender_value,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,identifier,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,described_by_source,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,instance_of,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,gender,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,work_location,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B5xtnRXHgmPY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mvo9Fng6Hu9m', 'label': '(Everson 2017)'}]",Accademia degli Infecondi di Roma,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,related_to,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,notable_work,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,interested_in,,,,,,,,,,,,,,,
Agent,Anna Rosalia Caruso,,,Anna Rosalia Caruso,Anna Rosalia Caruso.md,B2LvBQkqGtrc,185843238043121182393,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0556
