class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,identifier_value
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ma9mE58a3Ryr,online database,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,inception,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,dissolved,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,location,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,official_website,,,,,,https://opac.sbn.it/,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,catalog_identifier,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,member,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,interested_in,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,notable_work,,,,,,,,,,,
Organisation,OPAC SBN,OPAC SBN.md,OPAC SBN,6rYwUPnKokCv,100117700660313031024,identifier,,,,,,,,,,,http://www.wikidata.org/entity/Q105086090
