class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yirr4fPGSu5,Ascanio Mori,,,,,,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,part_of,,,,,,,,36.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7NoiV6BUEEEb,,R. Il Signor Orsino.,Giuoco piacevole d'Ascanio de Mori,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8CJumkhmB57N,abandonment,,,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7iFPYdb9Lkjr,death,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oMntA8sUyuyk,infinity,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PkJjQdNqm3ok,thousand,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SXrVe27zaz8x,light beam,,,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Se Morte è fin d'ogni tormento mio,,,Se Morte è fin d'ogni tormento mio,Se Morte è fin d'ogni tormento mio.md,oPurYErB6AHU,936547527394245886037,text,,,,,,,,,,,,,,,,,,,,,,,,,"Se Morte è fin d'ogni tormento mio,
Perché di vostra crudeltà infinita,
Che m'uccide , Madonna mi dolg'io?
Più tosto con ragion lodar devrei
De' vostri empi occhi i rai,
Senza stancarmi mai,
Come nemici de gli affanni miei:
Dorrommi sol de la fallace speme,
Che giunta la trist'alma a l'hore estreme,
Le chiude ( ohimè) I'uscita:
Onde per lei ben mille volte il giorno
Nel fin del mio languir, a languir torno."
