class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,member_of,,,,,,,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eARmqFGFiTGN,Niccolò Machiavelli,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,notable_work,,,,,,,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,present_in_work,,,,,,,,,,,,,,,,,
Agent,Philippe Verdelot,Philippe Verdelot.md,Philippe Verdelot,axPkKdM5gcMv,680036691646807538878,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q714219
