class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/037220000010101_000000002400C,,,,,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLwDygVEEnDQ,Il nuovo echo a cinque voci,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,instrumentation,,,,,,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WXWHJZNWk6dY,Cantava in riva al fiume,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,derivative_work,,,,,,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,text,,,,,,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,language,,,,,,,,,,,,,,,,,
MusicComposition,Cantava in riva al fiume (Agostini),,,Cantava in riva al fiume (Agostini),Cantava in riva al fiume (Agostini).md,JFtLH3kRTCD4,335200439803498986698,subject,,,,,,,,,,,,,,,,,
