class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,has_version_value,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,identifier,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n,(Nicolaci 2017),,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XmDmGAMTyDeA,manuscript,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,title,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,inception,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1617.0,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,has_version,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ezwY5x5BbrjW,Paolo Guidotti,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gRCmoRbw2n22,Crusades,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,has_part,,,,,,,,,,,,,,,,,
Book,Gerusalemme distrutta,,,Gerusalemme distrutta,Gerusalemme distrutta.md,FpoeBwa9hbMS,285210078525346239180,based_on,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso"
