class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_permalink,has_version_place_of_publication,has_version_external_source,contributor_value,subject_value,has_part_value,based_on_value,catalog_identifier_value
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,identifier,https://edit16.iccu.sbn.it/titolo/CNCE000024,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,described_by_source,,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,title,,,,,Rime della Accademia de gli Accesi di Palermo,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,inception,,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,has_version,,,,,,,1571.0,https://edit16.iccu.sbn.it/titolo/CNCE000024,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ReXg6kyDseAt', 'label': 'Palermo'}]",https://books.google.it/books?id=BKe0YP2sGZUC,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,contributor,,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,subject,,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,has_part,,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,based_on,,,,,,,,,,,,,,,
Book,Rime della Accademia de gli Accesi di Palermo,,,Rime della Accademia de gli Accesi di Palermo,Rime della Accademia de gli Accesi di Palermo.md,mG2c7PSdH8gQ,892415961142104463993,catalog_identifier,,,,,,,,,,,,,,,
