class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label,identifier_value
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FeQqwKLG5FHE,literary character,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,gender,,,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,work_location,,,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,member_of,,,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,occupation,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QD7ZE8NxGr96,knight,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,related_to,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3sWxWB5XiLtd,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf', 'label': 'lover'}",Isabella,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,notable_work,,,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,interested_in,,,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,present_in_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FSsfkMyDLbzE,Orlando furioso,
Agent,Zerbino,Zerbino.md,Zerbino,Nz7oKHPetAna,433028669805017824565,identifier,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4024216
