class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_permalink,has_version_external_source,has_version_publication_date,has_version_note,has_version_place_of_publication,has_version_holding_institution,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,identifier,https://edit16.iccu.sbn.it/titolo/CNCE002676,,,,,,,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,title,,,,,,Orlando furioso ... Aggiuntoui nel fine l'espositione de' luoghi difficili,,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,inception,,,,,,,1553.0,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,has_version,,,,,,,,,,,1553.0,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SyEcdpw8fUFq', 'label': 'Giovanni Andrea Valvassore'}",,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,contributor,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,subject,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EQa8x6MU8Hoz,art print,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Book,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,,,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto,Orlando furioso ornato di nuove figure & Allegorie in ciascun Canto.md,5v7sGf2Kt7xn,80770678891084340810,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
