class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,identifier,http://www.wikidata.org/entity/Q2077568,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLb6JFQe3x4B,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",Accademia delle Notti Vaticane,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rfdm5oYMwDjo,cardinal,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,related_to,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,notable_work,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,interested_in,,,,,,,,,,,,,,,,,,
Agent,Silvio Antoniano,,,Silvio Antoniano,Silvio Antoniano.md,VKQggydMU7W2,563467906411585447638,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18680.0
