class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,instance_of,,,[[academy]],,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QVhUaBojRMHH,Urbino,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,catalog_identifier,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",3.0,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,member,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQ4Mxw23doRC,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Laura Battiferri,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Assorditi di Urbino,,,Accademia degli Assorditi di Urbino,Accademia degli Assorditi di Urbino.md,hf6JDFWQ8eAj,818222539773716628581,motto,,,,,,,,,,,,,,,,,
