class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,motto_reference
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",361.0,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,member,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Desiosi di Venezia,,,Accademia dei Desiosi di Venezia,Accademia dei Desiosi di Venezia.md,Bt7QcM34G3L3,203859041480235824824,motto,,,,,,,,,,,,,,,,Ad invicem,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]"
