class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,has_version_permalink,contributor_role,contributor_value,contributor_note,contributor_label,subject_value,has_part_value,based_on_value
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,identifier,https://edit16.iccu.sbn.it/titolo/CNCE055028,,,,,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a8ufX9TqHzux,libro sorte,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GewRJWWph5KT,parlour game,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,title,,,,,,Le sorti di Francesco Marcolino da Forli intitolate Giardino di pensieri allo illustrissimo signore Hercole Estense duca di Ferrara,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,inception,,,,,,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,has_version,,,,,,,,1540.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nNtFe5mje86L', 'label': 'Francesco Marcolini'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://gallica.bnf.fr/ark:/12148/bpt6k15216662,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k15216662/manifest.json,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a4rNvLRqq9fj', 'label': 'Bibliothèque nationale de France'}",https://edit16.iccu.sbn.it/titolo/CNCE055028,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mb4nqpu9MxKm,Dolce wrote the verses of the fortune-telling book.,Lodovico Dolce,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nNtFe5mje86L,,Francesco Marcolini,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,subject,,,,,,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Le sorti di Francesco Marcolino,,['Giardino di pensieri'],Le sorti di Francesco Marcolino,Le sorti di Francesco Marcolino.md,CVR6qUUjuTxZ,216280521009342484213,based_on,,,,,,,,,,,,,,,,,,,,,
