class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,interested_in_label,notable_work_value
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,identifier,http://www.wikidata.org/entity/Q338523,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,inception,,,,,1593.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",159.0,,,,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UNnUCq2cCygA,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Federico Zuccari,,,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eihJDhFoMudj,visual arts,
Organisation,Accademia di San Luca di Roma,,['Accademia del Disegno di Roma'],Accademia di San Luca di Roma,Accademia di San Luca di Roma.md,VLH3Xgfkhtes,563781338454873190837,notable_work,,,,,,,,,,,,,,,,,,
