class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,identifier,http://www.wikidata.org/entity/Q3699724,,,,,,,,,,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,described_by_source,,,,,,,,,,,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5VB64Nf9sroY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia delle Notti Vaticane,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,notable_work,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cXB4Hhoxitii,Il Fidamante. Poema eroico dell'illustriss.mo sign. Curtio Gonzaga,,,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,interested_in,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18685.0,
Agent,Curzio Gonzaga,,['Curtio Gonzaga'],Curzio Gonzaga,Curzio Gonzaga.md,BSeohJFTgcue,194645642732652904830,present_in_work,,,,,,,,,,,,,,,,,,,,
