class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,work_location,,,,,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,member_of,,,,,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,related_to,,,,,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,notable_work,,,,,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,interested_in,,,,,,,,,,,,,,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0400,
Agent,Fausta Tacita,Fausta Tacita.md,Fausta Tacita,WVoqVbuogPXu,587871203858094541386,present_in_work,,,,,,,,,,,,,,
